country,category,name,field,symbol,currency,file
Europe,factors,Value,etf,IEVL.MI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IEVL.MI.csv
Europe,factors,Momentum,etf,CEMR.DE,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CEMR.DE.csv
Europe,factors,Quality,etf,CEMQ.DE,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CEMQ.DE.csv
Europe,factors,Min_Vol,etf,EUMV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EUMV.csv
Europe,factors,EuroStoxx50,index,^STOXX50E,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_STOXX50E.csv
Germany,sectors,Technology,index,^CXPHX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_CXPHX.csv
Germany,sectors,Healthcare,index,^CXPPX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_CXPPX.csv
Germany,sectors,Industrials,index,^CXPNX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_CXPNX.csv
Germany,sectors,Fin_Services,index,^CXPVX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_CXPVX.csv
Germany,sectors,Insurance,index,^CXPIX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_CXPIX.csv
Germany,factors,Large_Cap,index,^GDAXI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_GDAXI.csv
Germany,factors,Mid_Cap,index,^MDAXI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_MDAXI.csv
Germany,factors,Small_Cap,index,^SDAXI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_SDAXI.csv
Japan,sectors,Broad_Market,etf,EWJ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EWJ.csv
Japan,sectors,Nikkei_225,index,^N225,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_N225.csv
Japan,sectors,Foods,etf,1617.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1617.T.csv
Japan,sectors,Energy_Resources,etf,1618.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1618.T.csv
