,cs_national_sa,cs_national_nsa,cs_10city_sa,cs_10city_nsa,cs_20city_sa,cs_20city_nsa,cs_atlanta_sa,cs_atlanta_nsa,cs_boston_sa,cs_boston_nsa,cs_charlotte_sa,cs_charlotte_nsa,cs_chicago_sa,cs_chicago_nsa,cs_cleveland_sa,cs_cleveland_nsa,cs_dallas_sa,cs_dallas_nsa,cs_denver_sa,cs_denver_nsa,cs_detroit_sa,cs_detroit_nsa,cs_las_vegas_sa,cs_las_vegas_nsa,cs_los_angeles_sa,cs_los_angeles_nsa,cs_miami_sa,cs_miami_nsa,cs_minneapolis_sa,cs_minneapolis_nsa,cs_new_york_sa,cs_new_york_nsa,cs_phoenix_sa,cs_phoenix_nsa,cs_portland_sa,cs_portland_nsa,cs_san_diego_sa,cs_san_diego_nsa,cs_san_francisco_sa,cs_san_francisco_nsa,cs_seattle_sa,cs_seattle_nsa,cs_tampa_sa,cs_tampa_nsa,cs_washington_sa,cs_washington_nsa,cs_la_high_sa,cs_la_high_nsa,cs_la_mid_sa,cs_la_mid_nsa,cs_la_low_sa,cs_la_low_nsa,cs_ny_high_sa,cs_ny_high_nsa,cs_ny_mid_sa,cs_ny_mid_nsa,cs_ny_low_sa,cs_ny_low_nsa,cs_sf_high_sa,cs_sf_high_nsa,cs_sf_mid_sa,cs_sf_mid_nsa,cs_sf_low_sa,cs_sf_low_nsa,cs_boston_condo_sa,cs_boston_condo_nsa,cs_chicago_condo_sa,cs_chicago_condo_nsa,cs_la_condo_sa,cs_la_condo_nsa,cs_ny_condo_sa,cs_ny_condo_nsa,cs_sf_condo_sa,cs_sf_condo_nsa,fhfa_national_sa,fhfa_national_nsa,fhfa_new_england_sa,fhfa_new_england_nsa,fhfa_middle_atlantic_sa,fhfa_middle_atlantic_nsa,fhfa_south_atlantic_sa,fhfa_south_atlantic_nsa,fhfa_east_south_central_sa,fhfa_east_south_central_nsa,fhfa_west_south_central_sa,fhfa_west_south_central_nsa,fhfa_east_north_central_sa,fhfa_east_north_central_nsa,fhfa_west_north_central_sa,fhfa_west_north_central_nsa,fhfa_mountain_sa,fhfa_mountain_nsa,fhfa_pacific_sa,fhfa_pacific_nsa,zillow_us,zillow_california,zillow_florida,zillow_texas,zillow_new_york,zillow_washington,zillow_massachusetts,zillow_colorado,zillow_arizona,zillow_nevada,zillow_oregon,zillow_georgia,zillow_north_carolina,zillow_illinois,zillow_pennsylvania,zillow_ohio,zillow_michigan,zillow_virginia
2000-01-01,100.552,100.0,100.745302695545,100.0,100.589696588763,100.0,100.37820660956,100.0,100.919817075975,100.0,100.665133488227,100.0,100.56483955744,100.0,100.531376620279,100.0,100.713363409224,100.0,100.663014046393,100.0,100.145624928809,100.0,100.401379195057,100.0,101.031209379265,100.0,99.943409185403,100.0,100.188698551769,100.0,100.33923003091,100.0,100.412854530639,100.0,100.592580799244,100.0,101.104565238663,100.0,101.449953785778,100.0,101.077268156783,100.0,100.076268667389,100.0,100.871832368872,100.0,101.234579408327,100.0,100.961992307796,100.0,100.494559055289,100.0,100.561606700452,100.0,100.158887717731,100.0,100.030545813464,100.0,101.542648809468,100.0,101.601282812847,100.0,100.935316669619,100.0,100.590546791916,100.0,100.292653973383,100.0,100.748104908327,100.0,100.440607378,100.0,101.539056153177,100.0,136.9,136.73,127.07,126.56,118.88,118.93,133.04,133.33,143.84,144.17,139.0,138.65,149.87,149.54,150.69,150.2,164.62,163.93,122.33,121.81,124952.58326434976,193444.3642174166,108402.18265967336,115222.69460587612,156973.2934092225,180532.49421411208,203036.5547039765,182137.38326669825,137859.47074523184,156652.66646676193,155357.99691776003,127946.87958166556,131310.98082601684,132953.82096833305,102390.34622311678,108448.46326830518,121512.34923879466,127091.97590445475
2000-02-01,101.339,100.571,101.893168883929,100.812298112427,101.692479150905,100.757407224824,101.289722102941,100.80318,101.894221520328,100.36362,101.103256682665,100.42882,101.411386001375,100.52028,100.509031741915,99.632754,103.03731748935,101.82326,101.65254719963,100.72792,100.87606377128,100.43985,100.904481977024,100.32938,102.043406379543,100.61896,100.473786613187,100.21244,100.971705367379,100.21685,101.240656746513,100.54404,100.938496650628,100.4262,101.248219916711,100.51948,102.40957644173,101.07474,104.170604242417,102.69766,101.657995401741,100.48036,100.788642566177,100.51423,101.701237228284,100.53061,102.292287238598,100.75123,101.774702091665,100.37009,101.541763213081,100.72167,101.620735864402,100.62903,101.014544584896,100.58705,100.688185723975,100.47113,104.647042002907,103.01063,104.333842387804,102.62611,102.910463902578,101.78012,101.164766839989,100.10093,100.750092169501,100.14192,101.713963407926,100.51115,102.107278495101,101.68217,104.940558372494,103.19993,136.78,136.54,127.26,125.93,118.33,117.53,133.46,133.83,144.13,144.24,138.97,138.86,149.23,149.18,151.79,151.32,164.92,164.31,121.4,120.86,125172.41491522588,194094.58846505487,108636.99187813968,115285.30959443453,157532.27253024292,180939.71039269408,203714.4262198636,182784.10234902092,138109.17477537657,156672.24853381017,155699.64566062,128237.4248197706,131510.75350932853,133060.37108641217,102609.35141950005,108514.73511698496,121579.275339743,127420.84318487455
2000-03-01,102.127,101.466,103.154349986121,102.239722898754,102.783828346161,101.945281472813,101.675541826945,101.18145,102.651012231984,101.30991,101.135670731818,100.91533,102.427759627998,101.52948,101.166613918323,100.35299,102.709025092562,102.03669,102.735590550677,101.98901,101.374340519446,100.65027,101.437482960305,100.90065,103.224699379536,102.1278,101.086461798415,100.74446,101.631166360748,100.58169,102.060631292519,101.26767,101.715134796083,101.42142,101.555933061133,100.90713,104.09094531464,103.25935,107.337222667858,106.55867,102.944144849032,102.23654,101.447055667506,100.74589,102.894189211986,101.70257,103.304390578915,102.14688,103.215976041118,102.20272,102.643839951751,101.91563,102.580078537728,101.45848,101.789265147425,101.05806,101.526712188823,101.23796,107.935263516255,107.11821,107.376110180733,106.59736,105.536744276608,104.70419,101.483787692133,100.67135,102.966139238744,102.19725,103.66625692058,102.56146,104.804176843866,104.78696,108.560267881366,107.77211,137.8,138.09,129.22,128.52,119.28,119.14,134.02,134.56,144.19,144.47,140.01,140.3,150.58,151.14,152.45,152.89,165.82,166.0,122.93,123.12,125445.038530329,194972.55042077665,108921.62745590316,115315.67884483328,158070.38007822153,181355.1071500627,204520.98635556488,183498.7938406224,138430.5484486967,156914.70447790963,156011.76574892268,128572.66550189194,131716.5153619767,133290.6839473617,102815.15747534722,108615.2398885782,121824.29640402092,127769.51970063784
2000-04-01,102.922,102.54,104.530842704511,104.005087799762,103.996444263456,103.501368759454,102.703145257266,102.50251,104.347652448295,103.26949,102.27121698357,102.26978,103.411191814037,102.77818,101.738233708266,101.42,103.276749676987,103.20051,103.543432301449,103.07386,101.764303358498,101.00343,101.595700465107,101.20092,104.159399004352,103.7041,102.011262712122,101.82893,102.974795939075,102.00763,103.132503547364,102.40843,102.27207743955,102.12527,102.176641361735,101.99237,105.707103988875,105.41603,110.632994093003,110.96653,103.482366303597,103.45586,102.305717216289,102.02037,103.954036944749,103.34476,104.216597135682,103.78137,104.24570090684,103.78446,103.361403201041,102.86674,103.56962639683,102.62353,102.672271713118,102.0592,102.690944341493,102.3558,111.758824814263,112.28301,110.446859487324,110.85373,107.465505844051,107.29437,102.819053357153,101.88829,104.731217983916,104.55343,104.389818166494,103.64287,106.760586662458,107.14631,112.562427873761,113.13127,138.76,139.43,130.47,130.6,120.4,120.48,135.18,135.98,145.31,145.89,140.82,141.75,151.2,152.21,153.55,154.42,166.43,167.04,123.82,124.24,126029.76267184567,196878.3440442049,109500.21837576306,115466.40412759404,159227.7031307578,182193.48400278707,206109.56972085303,185096.8183225192,139086.77496779905,157470.33523740355,156666.7290934748,129278.4942898014,132162.8491639682,133832.4919140725,103234.55894462232,108910.77901915651,122312.37740044796,128428.40235185307
2000-05-01,103.678,103.702,106.011979288969,105.975108702367,105.25281811936,105.197072209572,103.267302426054,103.38305,106.009542832055,105.85119,102.243820232938,102.67531,104.391107512282,104.37852,102.158956289958,102.3038,103.715387002532,104.1144,105.302250270117,105.25747,102.578367620632,102.09317,102.046929381528,101.93274,104.924697824725,104.98908,102.752968548241,102.80919,104.406682846422,103.74139,104.91586859294,104.34942,102.989035625262,102.97905,102.075554069398,102.28979,107.134849297327,107.15188,113.800513476345,115.01005,104.217188189836,104.78048,103.390545785003,103.26039,104.924617575458,104.90695,104.876016741933,105.04537,105.21983799041,105.21596,104.089769076323,103.94611,105.526168071098,104.80837,104.48535977281,103.97668,103.605833646601,103.25409,114.91011421761002,116.30033,113.895201403384,115.08542,110.299427241117,111.1027,104.369142729283,104.10895,106.186041780626,105.93883,105.079102970807,104.69966,107.932629223336,108.40822,116.140212296174,117.64558,139.3,140.5,131.88,132.68,120.66,121.48,135.8,136.86,145.17,145.96,141.23,142.36,151.57,153.37,154.01,155.7,167.05,168.01,124.83,125.91,126702.71005521956,199093.5420406077,110124.16633305085,115564.01618440388,160425.1187837636,183108.5196237297,207829.13297968413,186880.49069658425,139830.61700847922,158178.35734810223,157250.81705969333,130056.9953291712,132660.08982119427,134475.36400302078,103665.3892666911,109361.40270095842,123032.15442301302,129064.48138030882
2000-06-01,104.425,104.856,107.335543156484,107.8289159074,106.402524159926,106.75731383581,104.136885514532,104.58345,107.930273259992,108.48472,102.693928711292,103.27498,105.509360753862,106.07881,102.04103683537,102.65167,103.61535298241,104.2777,106.908068721726,107.32262,103.275347579599,103.19376,102.278476657579,102.44396,105.69340697557,106.35687,103.405795373952,103.49209,105.609848408321,105.49299,106.064699430409,106.00344,103.703454361813,103.88864,102.189657054967,102.69719,108.967209646236,109.63979,116.815105930371,118.44729,104.432562512059,105.27944,104.227021714192,104.34821,105.718509301144,106.29148,105.733937211088,106.51138,105.786824608018,106.40117,104.740754566427,104.91523,106.589120215091,106.58877,105.657570849509,105.55914,104.574184990788,104.35039,118.000092524986,119.76963,116.990231178244,118.88711,112.858155211647,113.97879,105.797312880995,105.68776,107.030099295112,107.27821000000002,105.610620039095,105.83247,108.963546959685,109.00985,118.063871192717,119.48809,140.26,141.96,133.84,136.01,121.78,123.92,136.67,138.1,145.58,146.93,141.82,143.12,152.59,154.72,154.73,156.85,168.25,169.52,125.85,127.09,127424.2003486922,201483.7342437232,110760.79427778826,115673.4630627791,161719.85624722354,183982.04156369923,209692.24793917115,188806.57272567405,140498.14118549717,158813.98645299664,157792.9694213937,130881.94439656282,133189.03198228762,135197.8702156724,104108.16628331984,109920.53286203962,123822.68597297493,129678.72818646902
2000-07-01,105.055,105.723,108.17075321831,109.02122396568,107.134018993064,107.773793380308,104.316814961184,104.8097,108.92452839824,110.00193,102.250464305825,102.84846,106.031141082045,107.01059,101.929937504742,102.60215,104.048211473283,104.66346,108.299132842535,108.92824,103.991880003775,104.39795,102.673478668516,103.1429,106.324687118986,107.23331,103.696261403053,103.67034,106.387834027255,106.74296,107.02029105745,107.52177,104.082601718947,104.34644,102.400402068704,102.97923,110.316533531986,111.20517,117.864997330533,119.48304,104.93576463562,105.81626,105.031190568243,105.4459,106.711359775689,107.7155,106.222210620574,107.34433,106.531466916652,107.36887,105.482060042276,106.05626,107.661156087041,108.43879,106.340116621487,106.6686,105.464434473344,105.34315,118.996243976645,120.84608,117.571119046856,119.23022,114.816560158375,115.85612,107.263077336942,107.50639,107.52583779876998,107.84863,107.015769423484,107.63014,109.833192245692,109.59424,119.318892777014,120.50206,140.99,142.66,134.51,136.79,122.43,124.48,137.31,138.69,146.29,147.3,142.46,144.0,153.29,155.49,155.49,157.7,168.89,169.92,126.92,127.98,128188.3998875136,204007.94793310217,111400.44964743372,115745.38659583071,162883.82063045906,184931.03270383255,211897.0056198358,190758.189704292,141176.94771934705,159306.63045309298,158244.37510930127,131715.5333607637,133705.55218809008,135981.52826642164,104578.36816647123,110473.26353558272,124744.94651668397,130424.35861495003
2000-08-01,105.769,106.523,109.067593589283,110.070858124643,107.861438280272,108.635378997253,104.70067097578,105.09463,110.129174110021,111.38234,102.524729423048,103.01991,106.422517665879,107.39333,102.193289192555,102.91634,104.357796601923,105.0381,109.299623566765,109.99537,104.226072815964,104.70004,103.222001122487,103.72677,106.96663259897,108.18488,104.356090002554,104.37173,107.355619513942,108.00681000000002,108.02474980719,108.89538,104.496636546671,104.91929,102.64526308397,103.2983,111.672745865903,112.83837,119.047837140591,119.95064,105.219809525868,105.8772,105.414051818575,105.79208,107.792642692279,109.1044,106.888100533661,108.23233,107.011960870885,108.19817,106.557314597971,107.47356,108.476328012687,109.76335,107.218034032116,107.82768,106.663943333167,106.92803,119.994363905326,121.02125,118.60689830623,119.81044,116.030879398389,116.80728,108.894931232033,109.44032,107.746886051917,108.41143,108.677089428659,109.69132,109.643049458675,109.41818,120.622040146456,121.28942,141.56,143.09,135.43,137.33,123.01,124.99,137.72,138.91,145.89,146.79,142.97,144.44,153.75,155.73,156.18,158.22,169.32,170.47,128.08,129.06,129013.27891938252,206643.36031738145,112051.90584333349,115958.1646684939,163902.6736964758,185807.90469920292,214610.19021003856,192876.75850348605,141828.99705752113,159781.26716234596,158726.51918035673,132596.68935904012,134192.6381718554,137096.9717110899,105027.22677594535,111010.48046626104,125675.89767848862,131303.6338534204
2000-09-01,106.539,107.137,110.027065084146,110.90439294061,108.610139970709,109.349147176414,104.778692689457,105.0796,111.370845354569,112.66528999999998,102.516441349148,102.88208,106.710102551598,107.29769,102.51897892426202,103.05188,105.076233633486,105.73049,110.551433903667,111.35245,104.652181277047,105.31634,103.893680432206,104.50542,107.886787187977,108.9445,105.107967677173,105.2252,108.465487657108,109.31715,108.82551020788,109.76389,104.966075207543,105.33906,102.811335573985,103.31053,112.656074567257,113.66286,120.414855674041,120.93617,105.624383087717,106.10128,105.906252232496,106.13723,108.994654636018,110.17631000000002,107.804691525128,108.9852,108.091001838553,109.11034,107.463359386299,108.28382,109.110205125957,110.41908,108.502696024401,109.27151,107.535226385939,107.75433,121.164145651697,121.7885,119.666450186694,120.14536,118.831362016778,119.53948,110.932992556402,112.25092,108.337982165668,108.73487,110.254129291637,111.39131,110.213581441644,110.14002,122.623316250728,123.21984,142.4,143.65,137.01,138.75,124.46,126.03,138.53,139.67,145.97,146.95,143.66,144.51,154.18,155.88,156.91,158.51,169.67,170.45,129.33,130.0,129871.29955619852,209284.8885116081,112727.14482328238,116237.1916915753,164808.02248806832,186606.06975683823,217658.95703651928,195100.75485191413,142550.15936654632,160352.5102192829,159131.94012687754,133497.28049374666,134668.05428783517,138408.7528911387,105484.57163326972,111538.33235090467,126565.69592760185,132264.52477488134
2000-10-01,107.384,107.73,111.171616516722,111.750560521944,109.486858772589,110.042772061432,105.422361366097,105.55835,112.969418735178,114.10635,102.856734901857,102.87821,106.977829653146,107.28501,103.202904148407,103.59165,105.511331420771,105.69277,111.727952746596,112.33239,105.061571264486,105.57578,104.675437012256,105.16108,108.808657012045,109.55771,106.096700595632,106.24741000000002,109.625568785785,110.57378,109.786003617993,110.51331,105.325561793029,105.67377,103.02600049666,103.33388,113.469761885203,114.22066,123.250015284816,123.0771,105.817148198322,106.08324,106.509375332465,106.6454,109.871959911909,110.49833,108.712349027075,109.54432,109.048775683319,109.75738,108.407899256882,108.99398,109.901894864103,110.90257,109.739935210151,110.29804,108.633944786423,109.19136,123.60654617020398,123.31181,123.012335112428,122.90784,121.966761945038,122.09911,112.919222603858,114.18456,108.543175899872,108.88565,111.495573403666,112.7195,111.26867652226002,111.39521,124.784803619556,124.94292,143.21,144.13,138.86,140.19,124.93,126.0,139.11,140.06,146.4,147.09,144.12,144.86,154.59,155.95,157.99,159.09,170.98,171.47,130.85,131.15,130732.58815788924,211789.9142982275,113416.45844709796,116536.17451037728,165778.43728371288,187301.08307649227,220879.5299599593,197309.7381586629,143245.012845613,160994.7341087193,159539.18360210597,134433.29575461426,135170.67362979357,139922.7874487027,105923.18214688408,112048.24536359454,127396.73080332825,133173.68354865848
