date,cs_main_national,cs_main_composite_10,cs_main_composite_20,cs_main_atlanta,cs_main_boston,cs_main_charlotte,cs_main_chicago,cs_main_cleveland,cs_main_dallas,cs_main_denver,cs_main_detroit,cs_main_las_vegas,cs_main_los_angeles,cs_main_miami,cs_main_minneapolis,cs_main_new_york,cs_main_phoenix,cs_main_portland,cs_main_san_diego,cs_main_san_francisco,cs_main_seattle,cs_main_tampa,cs_main_washington
2000-01-31,100.552,100.745302695545,100.589696588763,100.37820660956,100.919817075975,100.665133488227,100.56483955744,100.531376620279,100.713363409224,100.66301404639299,100.145624928809,100.40137919505699,101.03120937926501,99.943409185403,100.18869855176901,100.33923003091,100.412854530639,100.592580799244,101.104565238663,101.449953785778,101.077268156783,100.07626866738899,100.87183236887199
2000-02-29,101.339,101.89316888392901,101.692479150905,101.289722102941,101.894221520328,101.103256682665,101.411386001375,100.509031741915,103.03731748934999,101.65254719963,100.87606377128,100.904481977024,102.043406379543,100.473786613187,100.971705367379,101.24065674651301,100.938496650628,101.24821991671101,102.40957644173001,104.17060424241699,101.657995401741,100.788642566177,101.701237228284
2000-03-31,102.12700000000001,103.154349986121,102.783828346161,101.675541826945,102.651012231984,101.13567073181801,102.42775962799801,101.16661391832301,102.709025092562,102.73559055067699,101.374340519446,101.437482960305,103.224699379536,101.08646179841499,101.63116636074801,102.06063129251899,101.71513479608299,101.555933061133,104.09094531464001,107.33722266785801,102.944144849032,101.447055667506,102.894189211986
2000-04-30,102.92200000000001,104.53084270451099,103.996444263456,102.703145257266,104.34765244829501,102.27121698357,103.411191814037,101.738233708266,103.276749676987,103.54343230144899,101.764303358498,101.595700465107,104.159399004352,102.011262712122,102.974795939075,103.13250354736401,102.27207743955,102.176641361735,105.707103988875,110.632994093003,103.48236630359699,102.30571721628901,103.95403694474899
2000-05-31,103.678,106.011979288969,105.25281811935999,103.267302426054,106.00954283205499,102.243820232938,104.391107512282,102.158956289958,103.71538700253201,105.302250270117,102.578367620632,102.046929381528,104.924697824725,102.752968548241,104.406682846422,104.91586859294,102.98903562526199,102.07555406939801,107.13484929732701,113.800513476345,104.21718818983601,103.390545785003,104.92461757545799
2000-06-30,104.425,107.335543156484,106.40252415992599,104.136885514532,107.930273259992,102.693928711292,105.509360753862,102.04103683537,103.61535298240999,106.908068721726,103.275347579599,102.278476657579,105.69340697556999,103.405795373952,105.609848408321,106.064699430409,103.70345436181299,102.189657054967,108.967209646236,116.815105930371,104.43256251205901,104.227021714192,105.71850930114401
2000-07-31,105.055,108.17075321831,107.134018993064,104.31681496118401,108.92452839824,102.250464305825,106.031141082045,101.929937504742,104.048211473283,108.299132842535,103.99188000377501,102.67347866851601,106.32468711898599,103.696261403053,106.387834027255,107.02029105745001,104.08260171894699,102.400402068704,110.31653353198601,117.86499733053301,104.93576463562,105.031190568243,106.71135977568899
2000-08-31,105.76899999999999,109.067593589283,107.86143828027201,104.70067097578001,110.129174110021,102.524729423048,106.422517665879,102.19328919255501,104.35779660192301,109.299623566765,104.22607281596399,103.22200112248699,106.96663259897,104.356090002554,107.35561951394199,108.02474980719,104.49663654667101,102.64526308397,111.672745865903,119.04783714059099,105.219809525868,105.414051818575,107.79264269227899
2000-09-30,106.539,110.027065084146,108.610139970709,104.778692689457,111.370845354569,102.51644134914801,106.710102551598,102.51897892426202,105.076233633486,110.55143390366699,104.652181277047,103.893680432206,107.886787187977,105.10796767717301,108.465487657108,108.82551020788,104.96607520754299,102.811335573985,112.65607456725701,120.41485567404101,105.62438308771699,105.906252232496,108.99465463601801
2000-10-31,107.384,111.171616516722,109.486858772589,105.422361366097,112.969418735178,102.856734901857,106.977829653146,103.202904148407,105.511331420771,111.72795274659599,105.061571264486,104.675437012256,108.808657012045,106.096700595632,109.625568785785,109.78600361799299,105.32556179302901,103.02600049666,113.469761885203,123.250015284816,105.81714819832199,106.509375332465,109.871959911909
2000-11-30,108.303,112.502151881966,110.571707211236,106.037877515955,114.770249024539,103.17505943073499,107.472286295816,103.55702852018601,106.283462270079,113.098569546196,106.094649466788,105.035955510508,109.98391903099599,107.403797979687,111.156455591145,110.636684398748,105.79872194644699,103.33891711487699,115.25299857151501,126.44311159828199,106.401228030485,108.188799730566,111.08801120832399
